"","Type","Symbol","Description","GeneID","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"35048_at","Receptors","GRIA3","glutamate receptor, ionotrophic, AMPA 3",2892,"35048_at",1.67311642169968,5.90219616111735,8.22706817857091,3.73036733160636e-05,0.00517537225950882,2.83525067227562
"1147_at","Receptors","NR2F1","nuclear receptor subfamily 2, group F, member 1",7025,"1147_at",1.24158505705010,4.11673321454638,8.13357735002693,4.04940364357214e-05,0.00532225005745666,2.75363050039064
"1968_g_at1","Receptors","PDGFRA","platelet-derived growth factor receptor, alpha polypeptide",5156,"1968_g_at",1.02603246922816,4.39849254418867,7.97784109562584,4.65051122658156e-05,0.00570026254714488,2.61562199427008
"38546_at","Receptors","IL1RAP","interleukin 1 receptor accessory protein",3556,"38546_at",1.00382919305072,5.10747598133074,6.86131633383218,0.000134223771024742,0.00916430673899396,1.54593668701424
"32623_at","Receptors","GABBR1","gamma-aminobutyric acid (GABA) B receptor, 1",2550,"32623_at",1.24140230424627,6.02636439628942,6.62850144315304,0.000170175651920638,0.0101766372558952,1.30377878957562
"156_s_at","Receptors","GPR19","G protein-coupled receptor 19",2842,"156_s_at",1.01283181395399,4.72656466569076,6.58697617716334,0.000177647166340994,0.0104607737565458,1.25984736274316
"39665_at","Receptors","GLRB","glycine receptor, beta",2743,"39665_at",2.04305620989593,6.5040025489062,6.3292603183783,0.000232973552073633,0.0121540954335935,0.9820693593442
"40746_at","Receptors","GRIA2","glutamate receptor, ionotropic, AMPA 2",2891,"40746_at",2.04821784962778,8.93593389936003,6.20144896656099,0.000267280803904858,0.0132851186980269,0.840969893446146
"32855_at","Receptors","LDLR","low density lipoprotein receptor",3949,"32855_at",1.69177680365099,7.57666802936042,5.71932887625826,0.000457006236096923,0.0181437224236593,0.288084451447676
"33359_at","Receptors","LPHN3","latrophilin 3",23284,"33359_at",1.18202255139885,6.20685726904114,5.68467003049465,0.000475517316158095,0.0187021997398628,0.247050585166651
"41792_at","Receptors","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8",6833,"41792_at",1.03244533564207,6.31305449579105,5.65925073728558,0.000489617618476488,0.0190965549504467,0.216843905262348
"35028_at","Receptors","GABRB1","gamma-aminobutyric acid (GABA) A receptor, beta 1",2560,"35028_at",1.22054712477963,4.92407392011723,5.65842751948328,0.00049008188546097,0.0190965549504467,0.215864059941097
"36906_at","Receptors","CNR1","cannabinoid receptor 1 (brain)",1268,"36906_at",2.23827061144738,4.44134491014715,4.7221929724835,0.00152944964404798,0.0378613759923642,-0.964402213938658
"37568_at","Receptors","GRM5","glutamate receptor, metabotropic 5",2915,"37568_at",1.19654887752038,3.80724753538375,4.40760916466700,0.00230596509422777,0.0473379013245945,-1.39096122603918
"36061_at","Receptors","SEMA5A","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",9037,"36061_at",1.17013581599643,5.36062521332061,4.39290518265526,0.00235148688240705,0.0478059933822688,-1.41126514487441
"40544_g_at","Transcription Factors","ASCL1","achaete-scute complex homolog 1 (Drosophila)",429,"40544_g_at",2.84772180245837,7.34237908150242,12.7289830054530,1.46163315473050e-06,0.00150160432985069,5.89346945913659
"35022_at","Transcription Factors","SOX5","SRY (sex determining region Y)-box 5",6660,"35022_at",1.81512776414076,4.33025352306379,10.4914668400601,6.27388261873043e-06,0.00232964023710211,4.56323684345224
"1147_at1","Transcription Factors","NR2F1","nuclear receptor subfamily 2, group F, member 1",7025,"1147_at",1.24158505705010,4.11673321454638,8.13357735002693,4.04940364357214e-05,0.00532225005745666,2.75363050039064
"33131_at","Transcription Factors","SOX4","SRY (sex determining region Y)-box 4",6659,"33131_at",1.40010594716724,7.45775731447613,7.9004084825391,4.98584661788897e-05,0.00580266854760797,2.54603601328704
"36899_at","Transcription Factors","SATB1","SATB homeobox 1",6304,"36899_at",1.42738673381296,7.03304144826774,7.56844585245963,6.76248972734647e-05,0.0068356699646787,2.24021866267072
"1612_s_at","Transcription Factors","JUND","jun D proto-oncogene",3727,"1612_s_at",1.03188183754565,11.6751209184368,7.00383381419214,0.000116415100501111,0.00864553319897954,1.69076637896076
"32583_at","Transcription Factors","JUN","jun proto-oncogene",3725,"32583_at",1.72832249775844,9.23065445137331,6.91406057997231,0.00012730327569378,0.00886579726909934,1.59983423226930
"35789_at1","Transcription Factors","TRAK1","trafficking protein, kinesin binding 1",22906,"35789_at",1.39762074383508,7.06449844974814,6.5086610322685,0.000192745878837123,0.0108151854236386,1.17637505324186
"670_s_at","Transcription Factors","CREB5","cAMP responsive element binding protein 5",9586,"670_s_at",1.11306464424433,6.3795985022878,6.20152929156502,0.000267257563626831,0.0132851186980269,0.841059276108848
"41139_at","Transcription Factors","MAGED1","melanoma antigen family D, 1",9500,"41139_at",1.08979969087426,7.59450142060532,6.03011307364935,0.000322330555274273,0.0150719380012507,0.648266494276626
"35008_at","Transcription Factors","PER2","period homolog 2 (Drosophila)",8864,"35008_at",1.98543643578089,5.77575461469376,5.90065466058308,0.000372228018709314,0.0164313941825353,0.499916704433234
"37249_at","Transcription Factors","PDE8B","phosphodiesterase 8B",8622,"37249_at",1.01365003076887,5.73935060745503,5.66222302292701,0.000487945370536823,0.0190965549504467,0.220380877089539
"37393_at","Transcription Factors","HES1","hairy and enhancer of split 1, (Drosophila)",3280,"37393_at",2.49571370443474,8.21672242580504,5.61405054423128,0.000515839889382072,0.0195981672090821,0.162896287340993
"39605_at","Transcription Factors","FOXG1","forkhead box G1",2290,"39605_at",3.15959796508375,6.1549849996286,4.82856776374503,0.00133555894491387,0.0353489133742928,-0.823578511540823
"37156_at","Transcription Factors","ETV1","ets variant 1",2115,"37156_at",1.48909928311687,3.50346277648400,4.74460601515733,0.00148617995595026,0.0373765377367969,-0.934586711570402
"1364_at1","ECM","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1",5803,"1364_at",3.12739771844035,7.7990331112148,21.8142414304437,2.27016991002644e-08,0.000286608951140838,9.0886788255259
"38126_at","ECM","BGN","biglycan",633,"38126_at",1.65861888753994,9.58457939435148,11.0171457839236,4.35236118933414e-06,0.00199952902645113,4.90506455526497
"38111_at","ECM","VCAN","versican",1462,"38111_at",3.24552782115999,6.72390198214824,10.9157032090282,4.66488423928601e-06,0.00203083322486158,4.84062244981126
"34853_at","ECM","FLRT2","fibronectin leucine rich transmembrane protein 2",23768,"34853_at",1.36542347189568,4.61780548872598,9.58667827691714,1.22457619559645e-05,0.00309205489388103,3.92606831669086
"37892_at","ECM","COL11A1","collagen, type XI, alpha 1",1301,"37892_at",2.76139562093971,6.55157812479207,9.0056452604287,1.93730554430536e-05,0.00366374730420324,3.48097022857525
"103_at1","ECM","THBS4","thrombospondin 4",7060,"103_at",1.63421367999110,6.5896635768872,8.639825370709,2.61969825584479e-05,0.00403337688780982,3.18494391278501
"36627_at","ECM","SPARCL1","SPARC-like 1 (hevin)",8404,"36627_at",2.35636569406437,7.16232785056253,7.58308485459826,6.67073786714872e-05,0.0068356699646787,2.25396596371715
"819_at","ECM","TIMP4","TIMP metallopeptidase inhibitor 4",7079,"819_at",1.18689989000550,4.38431866435705,6.81249876157583,0.000141001946555028,0.009235266938157,1.49573726878151
"32642_at","ECM","NCAN","neurocan",1463,"32642_at",1.15809062204916,6.55450187583501,6.48761667239189,0.000197041232064552,0.0109587909903743,1.15380606395168
"40759_at","ECM","MMP16","matrix metallopeptidase 16 (membrane-inserted)",4325,"40759_at",1.37261056886553,4.6842004545048,5.92556520391425,0.000362001054260442,0.0162255816416733,0.528647964426288
"34193_at","ECM","CHL1","cell adhesion molecule with homology to L1CAM (close homolog of L1)",10752,"34193_at",1.85788464580939,4.98166557141511,4.69134801787326,0.00159125583254460,0.0385597022761526,-1.00556015489104
"1364_at2","Enzymes","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1",5803,"1364_at",3.12739771844035,7.7990331112148,21.8142414304437,2.27016991002644e-08,0.000286608951140838,9.0886788255259
"36196_at","Enzymes","PFKM","phosphofructokinase, muscle",5213,"36196_at",1.89460943576779,6.8140899705873,15.8428085936504,2.73037908703421e-07,0.00114903453246023,7.30334219366933
"32345_at1","Enzymes","NTRK3","neurotrophic tyrosine kinase, receptor, type 3",4916,"32345_at",2.41583374732981,5.93314994977097,12.5413896715441,1.63623963750084e-06,0.00150160432985069,5.79362343305586
"41714_at","Enzymes","LPPR4","lipid phosphate phosphatase-related protein type 4",9890,"41714_at",1.38271865031116,3.77047581994936,11.7484373788650,2.68332203093375e-06,0.00169384703202693,5.34931910757444
"36606_at","Enzymes","CPE","carboxypeptidase E",1363,"36606_at",2.70284726639223,6.71927147869834,11.5827888068428,2.98677912380475e-06,0.00172143156922278,5.2517169327272
"34377_at","Enzymes","ATP1A2","ATPase, Na+/K+ transporting, alpha 2 polypeptide",477,"34377_at",2.33526009194561,5.81714729046536,11.3692848338742,3.4361098180479e-06,0.00188612549795021,5.12334436609063
"40107_at","Enzymes","ALDOC","aldolase C, fructose-bisphosphate",230,"40107_at",1.30157848271255,7.99226790383535,10.5837459124168,5.87701364249944e-06,0.00227975363816910,4.62467899961301
"33182_at1","Enzymes","NTRK2","neurotrophic tyrosine kinase, receptor, type 2",4915,"33182_at",1.39078328678616,4.62666651845573,9.82653986626844,1.02033981423037e-05,0.00280266396331844,4.10135308490113
"36834_at","Enzymes","MOXD1","monooxygenase, DBH-like 1",26002,"36834_at",1.12529276165010,5.53752488049897,9.26208662114924,1.57749644900527e-05,0.00349401625766517,3.68109371840567
"32090_at","Enzymes","NMNAT2","nicotinamide nucleotide adenylyltransferase 2",23057,"32090_at",1.26012559068026,4.74622023287737,9.20073418869138,1.6562440714428e-05,0.00360518644861472,3.63375410208988
"38265_at","Enzymes","RBBP6","retinoblastoma binding protein 6",5930,"38265_at",1.26667995048490,8.65729084843943,9.08543294350075,1.81638674167598e-05,0.0036248830088042,3.54387391045795
"35396_at","Enzymes","HAS2","hyaluronan synthase 2",3037,"35396_at",1.27801784028812,4.88123265784227,8.99037016812465,1.96146451487105e-05,0.00366374730420324,3.46886085253899
"37273_at1","Enzymes","ERBB4","v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)",2066,"37273_at",1.36261733397679,4.78386819528002,8.98293515819679,1.97334508265996e-05,0.00366374730420324,3.46295893331678
"36160_s_at1","Enzymes","PTPRN2","protein tyrosine phosphatase, receptor type, N polypeptide 2",5799,"36160_s_at",1.59465638590401,5.8638623242134,8.74369961042251,2.40201514172075e-05,0.00397586687109167,3.27029390546289
"35174_i_at","Enzymes","EEF1A2","eukaryotic translation elongation factor 1 alpha 2",1917,"35174_i_at",1.32829294162323,6.8708748888118,8.12250045753123,4.08917430157066e-05,0.00532225005745666,2.74389943533033
"1968_g_at2","Enzymes","PDGFRA","platelet-derived growth factor receptor, alpha polypeptide",5156,"1968_g_at",1.02603246922816,4.39849254418867,7.97784109562584,4.65051122658156e-05,0.00570026254714488,2.61562199427008
"39063_at","Enzymes","ACTC1","actin, alpha, cardiac muscle 1",70,"39063_at",1.32375088044330,4.71166272355162,7.90201347571611,4.97862880035457e-05,0.00580266854760797,2.54748496360804
"35847_at","Enzymes","USP24","ubiquitin specific peptidase 24",23358,"35847_at",1.01693777077966,7.04300935320903,7.26673929842122,9.00357134344375e-05,0.00777251840953281,1.95135010584617
"37183_at","Enzymes","GAD1","glutamate decarboxylase 1 (brain, 67kDa)",2571,"37183_at",1.82320505529350,4.79807902572949,6.94613741223758,0.000123288346850473,0.00886507350302536,1.63244099736764
"1544_at","Enzymes","BLM","Bloom syndrome, RecQ helicase-like",641,"1544_at",1.00396320616788,5.6310247770354,6.73787972240213,0.000152106991301299,0.00962319101094984,1.41841712215502
"40272_at","Enzymes","CRMP1","collapsin response mediator protein 1",1400,"40272_at",1.53216851486517,5.48748360615584,6.71488292398964,0.000155722056206777,0.00964927559420029,1.39444336144179
"33371_s_at","Enzymes","RAB31","RAB31, member RAS oncogene family",11031,"33371_s_at",1.52629854067118,8.93601464251008,6.37323255239747,0.000222319203846400,0.0119947861049607,1.03009677131446
"34283_at","Enzymes","XYLT1","xylosyltransferase I",64131,"34283_at",1.47070447031410,4.79799013437944,6.35400231215053,0.000226910932992359,0.0120156609416470,1.00912541520098
"36149_at","Enzymes","DPYSL3","dihydropyrimidinase-like 3",1809,"36149_at",2.03999731979190,5.95103556578503,6.35191638779684,0.000227415268486039,0.0120156609416470,1.00684761249673
"40113_at","Enzymes","TRIB2","tribbles homolog 2 (Drosophila)",28951,"40113_at",1.23061343792758,6.42966380072735,6.35122250281477,0.000227583310606494,0.0120156609416470,1.00608976794312
"40759_at1","Enzymes","MMP16","matrix metallopeptidase 16 (membrane-inserted)",4325,"40759_at",1.37261056886553,4.6842004545048,5.92556520391425,0.000362001054260442,0.0162255816416733,0.528647964426288
"37249_at1","Enzymes","PDE8B","phosphodiesterase 8B",8622,"37249_at",1.01365003076887,5.73935060745503,5.66222302292701,0.000487945370536823,0.0190965549504467,0.220380877089539
"41792_at1","Enzymes","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8",6833,"41792_at",1.03244533564207,6.31305449579105,5.65925073728558,0.000489617618476488,0.0190965549504467,0.216843905262348
"37841_at","Enzymes","BCHE","butyrylcholinesterase",590,"37841_at",1.28989447163642,3.81498598962605,5.61369511309467,0.000516052110135178,0.0195981672090821,0.162470878481812
"36851_g_at","Enzymes","TUSC3","tumor suppressor candidate 3",7991,"36851_g_at",1.27726711254910,3.27090106388143,5.58274533133381,0.000534904826124207,0.0199288591379322,0.125356147352576
"38418_at","Enzymes","CCND1","cyclin D1",595,"38418_at",1.31540717841897,7.48295725031232,5.57565041284473,0.000539332449873584,0.0200266828813353,0.116828030960183
"33370_r_at","Enzymes","SC4MOL","sterol-C4-methyl oxidase-like",6307,"33370_r_at",1.09249782061097,3.76344186606039,5.51951792248315,0.000575815766342467,0.0206988448239440,0.049093600633352
"1134_at","Enzymes","TNK2","tyrosine kinase, non-receptor, 2",10188,"1134_at",1.31156990601274,7.90986252901926,5.4927727031627,0.000594145286529847,0.0211895035097156,0.0166557923373842
"39332_at","Enzymes","TUBB2B","tubulin, beta 2B",347733,"39332_at",1.8888506775029,9.66003063626646,5.45993327807055,0.000617532866624366,0.0218449649376521,-0.0233191570365516
"39829_at","Enzymes","ARL4C","ADP-ribosylation factor-like 4C",10123,"39829_at",1.26079719780158,7.04080944276035,5.24977429073033,0.000793374594128154,0.0254222189108323,-0.282973649346047
"41790_at","Enzymes","ALDH5A1","aldehyde dehydrogenase 5 family, member A1",7915,"41790_at",1.51576662567777,4.95206041741176,5.09516312153208,0.00095770783084112,0.0291350876249859,-0.478264648535429
"1562_g_at","Enzymes","DUSP8","dual specificity phosphatase 8",1850,"1562_g_at",1.14837782850683,6.55625099953358,4.98144119913377,0.00110230607113027,0.0311642006353424,-0.624234746825039
"719_g_at","Enzymes","HTRA1","HtrA serine peptidase 1",5654,"719_g_at",1.25042732640176,10.3971643265210,4.89301802959624,0.00123123368167083,0.0340138407682588,-0.739100000913558
"36985_at","Enzymes","IDI1","isopentenyl-diphosphate delta isomerase 1",3422,"36985_at",1.16371459912905,9.92421566888903,4.61282764871462,0.00176120734781505,0.040575260522199,-1.11098978420911
"38465_at","Enzymes","PAM","peptidylglycine alpha-amidating monooxygenase",5066,"38465_at",1.26147875319260,5.90089219133191,4.53363420500178,0.00195279756035036,0.0430262987773531,-1.21827461742945
"38408_at","Other","TSPAN7","tetraspanin 7",7102,"38408_at",2.82206042550913,7.746280699388,16.4691491594456,2.02343741574225e-07,0.00114903453246023,7.53901417439544
"36134_at","Other","OLFM1","olfactomedin 1",10439,"36134_at",2.44332908536626,6.53895050677515,13.9962557611813,7.08247609957801e-07,0.00127766005671605,6.52014681689863
"36939_at","Other","GPM6A","glycoprotein M6A",2823,"36939_at",3.05106119659953,8.66310409591838,12.4358802609928,1.74464217370997e-06,0.00150160432985069,5.73660818785587
"38749_at","Other","LYPD1","LY6/PLAUR domain containing 1",116372,"38749_at",1.42659638277620,5.13448154812082,11.0334897357678,4.3042340544525e-06,0.00199952902645113,4.91538081974613
"34582_at","Other","SLC1A2","solute carrier family 1 (glial high affinity glutamate transporter), member 2",6506,"34582_at",1.7638461222909,4.75562701991451,9.91035566259647,9.58183133786325e-06,0.00280266396331844,4.16148918358791
"32368_at","Other","PCDH8","protocadherin 8",5100,"32368_at",1.92501052414898,4.29601866232179,9.61072646862444,1.20216695861948e-05,0.00309205489388103,3.94385847011264
"37286_at","Other","NRCAM","neuronal cell adhesion molecule",4897,"37286_at",2.76813564293495,5.12970802448349,9.60986128771139,1.20296519043338e-05,0.00309205489388103,3.94321927948207
"40834_at","Other","PDZD2","PDZ domain containing 2",23037,"40834_at",1.74642239685307,5.36798897716772,9.3967880625044,1.41884212405240e-05,0.00344478496464646,3.78386324816342
"34407_at","Other","RARRES2","retinoic acid receptor responder (tazarotene induced) 2",5919,"34407_at",1.38864713608588,7.5515252870076,9.34127837559901,1.48195874628969e-05,0.00346476466146432,3.74170529560762
"39026_r_at","Other","MEG3","maternally expressed 3 (non-protein coding)",55384,"39026_r_at",2.23026271566574,8.43888740825731,9.278332077522,1.55735073263741e-05,0.00349401625766517,3.69357273289559
"36699_at","Other","DSCAM","Down syndrome cell adhesion molecule",1826,"36699_at",1.67626139676026,5.67504418097705,9.03438796753368,1.89274066252137e-05,0.00366374730420324,3.50369785926988
"33361_at","Other","BSCL2","Berardinelli-Seip congenital lipodystrophy 2 (seipin)",26580,"33361_at",1.34776175681360,7.35136737250352,8.68743258826158,2.51731503110269e-05,0.00397586687109167,3.22419057182360
"39266_at","Other","KCND3","potassium voltage-gated channel, Shal-related subfamily, member 3",3752,"39266_at",1.61843787354281,4.66069428283405,8.6716036262627,2.55085320046278e-05,0.00397586687109167,3.21116580584778
"36521_at","Other","DZIP1","DAZ interacting protein 1",22873,"36521_at",1.34433747668397,3.9208195019032,8.42429274094082,3.14511228159294e-05,0.0045477472540854,3.00447784918621
"39273_at","Other","ODZ1","odz, odd Oz/ten-m homolog 1(Drosophila)",10178,"39273_at",1.72810510485005,4.45081872221629,8.1468109328411,4.00245279615238e-05,0.00532225005745666,2.76523931519509
"36824_at","Other","ASTN1","astrotactin 1",460,"36824_at",2.26583151704182,4.07127354577189,8.05758473727924,4.33116839161353e-05,0.00546810009441208,2.68661048948289
"32092_at","Other","SDC3","syndecan 3",9672,"32092_at",1.09049709405993,8.42827061673177,7.9455071108448,4.78738935379231e-05,0.00577103441444474,2.5866434692375
"36780_at","Other","CLU","clusterin",1191,"36780_at",1.26567765770047,10.1981205542099,7.94265599960743,4.79967218627087e-05,0.00577103441444474,2.58408281606795
"40230_at","Other","FRZB","frizzled-related protein",2487,"40230_at",1.12523770979071,3.34302628930216,7.88498794652409,5.05579041771784e-05,0.00580266854760797,2.53210041142771
"36681_at","Other","APOD","apolipoprotein D",347,"36681_at",2.10123581285989,8.84319662621738,7.8083988449599,5.41974447282289e-05,0.00610931017583831,2.46250082121252
"37067_at","Other","FAM155A","family with sequence similarity 155, member A",728215,"37067_at",1.15707384229993,3.78716868281800,7.70981951047079,5.93177552306713e-05,0.00629316520829601,2.37196359477341
"37910_at","Other","HCFC1","host cell factor C1 (VP16-accessory protein)",3054,"37910_at",1.11753870938893,5.74588861116558,7.55931134092641,6.82045131386684e-05,0.0068356699646787,2.23162813651829
"37630_at","Other","CHRDL1","chordin-like 1",91851,"37630_at",1.13666720871726,5.10589291896987,7.37331462902083,8.12933596053092e-05,0.00743716423925383,2.05461013651303
"41533_at","Other","FAM110B","family with sequence similarity 110, member B",90362,"41533_at",1.18673348647260,4.68712479747448,7.35820520713077,8.24733925494377e-05,0.00749083871177447,2.04005262157206
"34730_g_at","Other","TRO","trophinin",7216,"34730_g_at",1.21515556728078,8.73323750783051,7.3313387319539,8.4618890465963e-05,0.0076308106580913,2.01410089516027
"34443_at","Other","FAM5C","family with sequence similarity 5, member C",339479,"34443_at",1.57102342020336,4.18959971241565,7.03854790746453,0.000112484934328487,0.0085971452998251,1.72565929883921
"37714_at","Other","GAP43","growth associated protein 43",2596,"37714_at",1.22550104383113,7.18170852004289,7.03356708143674,0.000113039692655126,0.0085971452998251,1.72066199123614
"34382_at","Other","DCX","doublecortin",1641,"34382_at",1.00794859916410,4.03910966989187,6.92123289904408,0.000126393127171847,0.00886507350302536,1.60713626773876
"34873_at","Other","NEBL","nebulette",10529,"34873_at",1.14095609852017,5.02246801408355,6.7769064296206,0.000146182743201700,0.0094643955534434,1.45894570519817
"35946_at","Other","NELL1","NEL-like 1 (chicken)",4745,"35946_at",1.16608546581145,4.27319528428299,6.06712531150884,0.000309455586216096,0.0148005498066846,0.69024297269623
"32587_at","Other","ZFP36L2","zinc finger protein 36, C3H type-like 2",678,"32587_at",1.55663621023317,7.02586407705484,5.97246092797938,0.000343577642794639,0.0155471962017287,0.582495925020836
"39710_at","Other","C5orf13","chromosome 5 open reading frame 13",9315,"39710_at",1.02693455173564,5.90608581271332,5.83244647365623,0.000401896497187722,0.0168569544086212,0.420790970076104
"41767_r_at","Other","GOLGA8A","golgin A8 family, member A",23015,"41767_r_at",1.64915731879053,5.78284180490133,5.75028374886008,0.000441142060222455,0.0176806936835191,0.32458471695141
"41679_at","Other","C1orf21","chromosome 1 open reading frame 21",81563,"41679_at",1.05053957822023,3.80990335342022,5.61550376550255,0.000514973197601413,0.0195981672090821,0.164635426793601
"41191_at","Other","PALLD","palladin, cytoskeletal associated protein",23022,"41191_at",1.51702310977830,5.71187771728177,5.53061647453007,0.000568392585194672,0.0206392379794125,0.0625231855937924
"40484_g_at","Other","C1orf61","chromosome 1 open reading frame 61",10485,"40484_g_at",1.0439185822381,9.58044634382663,5.52558855440819,0.000571742367925815,0.0206826572924453,0.0564415177626261
"38248_at","Other","ProSAPiP1","ProSAPiP1 protein",9762,"38248_at",1.15490868069473,6.11425119712054,5.37946298416113,0.000679228677070405,0.0233205969108835,-0.121956386280921
"38004_at","Other","CSPG4","chondroitin sulfate proteoglycan 4",1464,"38004_at",1.00565320862150,5.52649103202483,5.35549577899511,0.000698888096421086,0.0236553946844939,-0.151522246784983
"40344_at","Other","NLGN1","neuroligin 1",22871,"40344_at",1.12291083916101,5.32568807456778,5.32455043092693,0.000725200025184743,0.0241573887017345,-0.189824234442274
"32542_at","Other","FHL1","four and a half LIM domains 1",2273,"32542_at",1.66453119553361,6.8464771152585,5.0663218460827,0.000992305464160386,0.0299639464033902,-0.515097374851419
"33753_at","Other","DAAM1","dishevelled associated activator of morphogenesis 1",23002,"33753_at",1.19823540363457,6.12547719438705,5.02900268226317,0.00103911653339596,0.0307570545923512,-0.562945673419081
"35185_at","Other","FABP7","fatty acid binding protein 7, brain",2173,"35185_at",2.42972846294744,6.30576150174857,4.88849841431335,0.00123825191840549,0.0341330359604134,-0.745003348630457
"36650_at","Other","CCND2","cyclin D2",894,"36650_at",1.13012833190567,6.06943841355561,4.83843288715442,0.00131898383891519,0.0351311623761693,-0.81060647759222
"39178_at","Other","RTN1","reticulon 1",6252,"39178_at",1.52915774511317,6.93690496015574,4.6994964652675,0.00157466822191104,0.0383022914381507,-0.99467313737118
"41498_at","Other","CLSTN1","calsyntenin 1",22883,"41498_at",1.17126937692108,7.75252080439605,4.65311707209496,0.00167166223947673,0.0393745070399137,-1.05677543795835
"38612_at","Other","TSPAN3","tetraspanin 3",10099,"38612_at",1.22406852584760,6.6107165562859,4.62140263856236,0.00174172091406301,0.0402846456223956,-1.09943035048050
"752_s_at","Other","DNAJB1","DnaJ (Hsp40) homolog, subfamily B, member 1",3337,"752_s_at",1.18990180033863,9.72028025584573,4.60887916861971,0.0017702597530559,0.0406049830554445,-1.11631626309209
"40953_at","Other","CNN3","calponin 3, acidic",1266,"40953_at",1.18024360335199,6.83681314373263,4.54554158707093,0.00192259819686118,0.0428186652752904,-1.20208259618977
"35837_at","Other","SCRG1","stimulator of chondrogenesis 1",11341,"35837_at",1.93649877695777,6.16612707938384,4.50456175006502,0.00202871700353859,0.0439323364831471,-1.25789851914938
